tweet_id	label	dataset
821486063575269383	1	arcust
821063962494201858	1	arcust
821013940314447875	1	arcust
820983918136586246	1	arcust
820730623463739397	1	arcust
820693288227373058	1	arcust
820689617171181570	1	arcust
820612727483879424	1	arcust
820545464818946048	1	arcust
704646846866722816	1	arcust
705408925944954880	1	arcust
821411695901937664	1	arcust
702046115508711424	1	arcust
821699269283508224	1	arcust
705163014811553793	0	arcust
705190380082479104	0	arcust
705034084293222400	0	arcust
704399079636406272	0	arcust
704729819012079616	0	arcust
705289274548158468	0	arcust
704997155438796800	0	arcust
705253942750478336	0	arcust
705373824523608064	0	arcust
704705939803381760	0	arcust
704837795156795397	0	arcust
704840552626458624	0	arcust
704779202990612481	0	arcust
705160762948509696	0	arcust
704835189361524736	0	arcust
705257456834891776	0	arcust
705101744020328452	0	arcust
818895732224749569	1	arcust
821577106559791104	0	arcust
821467225064435714	0	arcust
821458427985719297	0	arcust
821397528667181057	0	arcust
821469680099622916	0	arcust
821331617432092672	0	arcust
821199759318859778	0	arcust
821111634148098048	0	arcust
820886624586387456	0	arcust
820692152586014721	0	arcust
820532519196041216	0	arcust
820377565126918147	0	arcust
820335013875032064	0	arcust
704823836294955009	0	arcust
705099936145260544	0	arcust
704735515497652225	0	arcust
705435291570597888	0	arcust
704187832458452992	0	arcust
818293763915255813	0	arcust
818258812360687618	0	arcust
821702724228182016	0	arcust
821699660301668352	0	arcust
821505461669285889	0	arcust
821505351312875520	0	arcust
821413667321290752	0	arcust
821400273465835520	0	arcust
821473960701345792	0	arcust
821077963051515905	0	arcust
821046062341296129	0	arcust
821018650895351809	0	arcust
820688592381083648	0	arcust
820630111363928065	0	arcust
820627985107681285	0	arcust
820571612600827904	0	arcust
820533029517086720	0	arcust
820408503714062337	0	arcust
820358746241167360	0	arcust
820324508846489601	0	arcust
704009905804599296	0	arcust
705032713955368960	0	arcust
705292705874714628	0	arcust
704384630619766785	0	arcust
705312024578891776	0	arcust
704368158170288129	0	arcust
705440755922374659	0	arcust
821082284828819456	0	arcust
821047265028698112	0	arcust
820944550357254145	0	arcust
820594859689922562	0	arcust
820579052729892864	0	arcust
820549225863925761	0	arcust
820546463914659840	0	arcust
820538830205894656	0	arcust
820510139182616578	0	arcust
702566414742396929	0	arcust
705115077805006848	0	arcust
702742995368599552	0	arcust
703486498323173377	0	arcust
702218400043573248	0	arcust
705295511063011328	0	arcust
705019776167448576	0	arcust
704667905540165634	0	arcust
705261597372112896	0	arcust
703506295463288833	0	arcust
704744943403794432	0	arcust
703181877612425216	0	arcust
703264999544848385	0	arcust
702445600864923648	1	arcust
704072252611043329	1	arcust
703111862389334016	1	arcust
705252871831494656	1	arcust
704429199612891136	1	arcust
701725931828854784	1	arcust
693841080425517056	1	arcust
687549900419121152	1	arcust
676116815316144128	1	arcust
699609214306521089	1	arcust
703815176185880577	1	arcust
705114978832027651	0	arcust
821416424237305856	0	arcust
821795851572039680	0	arcust
821665094467813376	0	arcust
821420895520624640	0	arcust
821838624136237056	0	arcust
821756127775952897	0	arcust
821859963836497925	0	arcust
821840728305319936	0	arcust
821278607016398848	0	arcust
821762864046370816	1	arcust
703176464036864000	0	arcust
703417569634549760	0	arcust
704292291368906752	0	arcust
704563794836594688	0	arcust
703707018205462530	0	arcust
703705565801877505	0	arcust
702897433093791744	0	arcust
702694694237708288	0	arcust
702985809268498433	0	arcust
704447874231308288	0	arcust
704676956009324544	0	arcust
703112902127984643	0	arcust
704899082989531136	0	arcust
705111470217043968	0	arcust
705128481894621184	0	arcust
702164180175089664	0	arcust
704898356728954880	0	arcust
702357610960429056	0	arcust
703112179965276160	0	arcust
703112567892250624	0	arcust
705281767188643840	0	arcust
704896385703944194	0	arcust
702525640478728192	0	arcust
702260668699906049	0	arcust
704115506329100288	0	arcust
821699186773131264	0	arcust
820897038195892224	0	arcust
820590140036939777	0	arcust
820004378455195652	0	arcust
819264578672619522	0	arcust
819264397650591747	0	arcust
819264231996592128	0	arcust
819264049624084480	0	arcust
819263958393778178	0	arcust
819263861127843841	0	arcust
819263451642155008	0	arcust
818549426230853636	0	arcust
818754879648919552	0	arcust
821829679925620736	0	arcust
821788341595148288	0	arcust
821764555395231745	0	arcust
821290648317919234	0	arcust
821043188903383041	0	arcust
821019973170724866	0	arcust
820896075074695168	0	arcust
820366063066091521	0	arcust
820359688147636226	0	arcust
819746711509893122	0	arcust
819518707869294592	0	arcust
819508467614543872	0	arcust
819143649795706880	0	arcust
818994316731359233	0	arcust
818940786486247425	0	arcust
818850852165316608	0	arcust
818534796238454784	0	arcust
822130257880817664	0	arcust
822109968224620545	0	arcust
822027221485449217	0	arcust
703977896730296323	0	arcust
703709298766061573	0	arcust
809929268226654209	1	sarcasm
805874867971256320	0	sarcasm
785587582549757953	0	sarcasm
784649801036029952	2	sarcasm
804166683631947776	0	sarcasm
785586871485235201	1	sarcasm
809101471035727873	1	sarcasm
785571869378371584	1	sarcasm
785910871365079040	2	sarcasm
800700476685766657	0	sarcasm
805791967166812164	0	sarcasm
809084085079523328	1	sarcasm
784735848533065728	1	sarcasm
799312298645065728	0	sarcasm
785630446004555776	2	sarcasm
810839948601462785	1	sarcasm
800778280664256513	2	sarcasm
806078467372617728	2	sarcasm
809719009662865409	2	sarcasm
784680941918810113	1	sarcasm
807531216584998912	1	sarcasm
810824318674345984	2	sarcasm
808363270717509636	2	sarcasm
799882654409576448	2	sarcasm
785933186119282689	1	sarcasm
785935434949931008	0	sarcasm
799987572810334208	2	sarcasm
810856043211345920	2	sarcasm
785225644779200514	0	sarcasm
800832910056046592	0	sarcasm
810863991186657280	0	sarcasm
800747574835580928	2	sarcasm
806056841373511681	1	sarcasm
784275422338920448	2	sarcasm
800816506565230592	1	sarcasm
805456645383852032	1	sarcasm
785622569202229248	1	sarcasm
806126100141244416	1	sarcasm
800803428335321094	0	sarcasm
800808638235414529	2	sarcasm
784854845786353665	2	sarcasm
804027219429486592	0	sarcasm
800843602645680128	2	sarcasm
809279132282527744	1	sarcasm
782605830302511104	1	sarcasm
783631048714362880	2	sarcasm
800719583695015936	2	sarcasm
810871735830581248	2	sarcasm
785616087627030528	1	sarcasm
800845136250961920	0	sarcasm
806080594148990976	2	sarcasm
809857083545944065	1	sarcasm
805024331118051329	2	sarcasm
810119350518747136	1	sarcasm
785236783646777346	2	sarcasm
799779625538764800	0	sarcasm
810800416669728768	2	sarcasm
805822994459324416	2	sarcasm
805390936889065472	2	sarcasm
800827954142081025	0	sarcasm
799006568754925568	2	sarcasm
784667624894521344	1	sarcasm
785824881732558848	1	sarcasm
785992541581828096	2	sarcasm
785460963642318848	2	sarcasm
804621100416110597	0	sarcasm
807245936808394752	2	sarcasm
800755756354179073	0	sarcasm
810874561587724288	2	sarcasm
800706928129097730	0	sarcasm
808772790279163904	1	sarcasm
810834214660829192	2	sarcasm
809044445333221376	1	sarcasm
804040106944430084	2	sarcasm
810815558581153796	2	sarcasm
785929148904591361	2	sarcasm
810853515061067776	2	sarcasm
800752330635407360	0	sarcasm
804557954125012992	2	sarcasm
810834538964324352	2	sarcasm
784755226964287488	1	sarcasm
784649923476201472	2	sarcasm
804376628734398465	2	sarcasm
781400143144726529	1	sarcasm
785217305231884288	2	sarcasm
785494415552946177	2	sarcasm
810743859768676352	0	sarcasm
784708272850866176	2	sarcasm
810844637313142784	2	sarcasm
807457821843456000	1	sarcasm
800736817033179136	2	sarcasm
804018024328134656	2	sarcasm
799275958444425216	1	sarcasm
799273916594343936	1	sarcasm
